ID,CC Diff (slow-fast),HV Diff (slow-fast),MI Diff (slow-fast),Slow-Fast MediTime
0,1,45.59,0.80,53538.2438
1,0,19.65,-3.57,51728.0663
2,1,22.44,7.17,51469.8874
3,0,0.00,0.00,51017.1755
4,0,12.75,-2.29,49092.1300
5,0,-82.43,7.30,48569.0177
6,0,41.53,-4.11,48476.5341
7,0,24.38,-2.77,48443.4632
8,0,-61.00,2.23,47964.8051
9,0,0.00,0.00,47107.7927
10,-1,-51.27,1.44,45341.7685
11,0,9.61,-0.76,44793.7987
12,-1,0.00,-6.87,43640.1066
13,-1,15.17,-4.61,43088.5658
14,-1,187.70,-12.47,42768.2193
15,-1,155.69,-9.06,42754.6950
16,-1,84.21,-3.74,42726.0844
17,-1,115.52,-6.08,42701.7223
18,0,-60.99,13.40,42242.0642
19,0,53.09,-4.42,42139.6575
20,1,150.55,-24.26,42087.6637
21,3,304.73,-14.10,41071.6414
22,-1,23.23,-0.97,40809.1420
23,1,63.84,-13.31,40721.4187
24,-2,-114.86,7.95,40696.3998
25,-2,-129.45,11.62,40484.1867
26,1,63.84,-13.31,40162.5425
27,-2,-98.28,6.29,39935.9012
28,-2,-112.87,9.96,39779.6451
29,1,63.84,-13.31,39718.1080
30,1,63.84,-13.31,39690.3973
31,1,63.84,-13.31,39540.5480
32,1,63.84,-13.31,39165.4856
33,1,63.84,-13.31,38852.1958
34,1,63.84,-13.31,38851.4050
35,0,64.54,-4.51,38424.0735
36,0,19.96,-2.15,38332.8764
37,1,63.84,-13.31,38130.0210
38,0,51.13,-3.63,37832.3684
39,0,41.27,-2.50,37815.3898
40,0,-9.51,0.75,37501.2074
41,0,-20.44,0.62,37317.5283
42,0,10.10,-1.02,37232.0484
43,0,10.73,-0.86,37060.1314
44,-1,-9.39,0.87,36975.9578
45,0,33.37,-3.03,36819.6398
46,0,-44.98,1.23,35141.9107
47,-1,20.73,-9.07,33940.3658
48,-4,60.53,-2.22,33892.5826
49,-4,27.42,-0.64,33752.7104
50,0,-31.36,2.31,32659.9158
51,-1,-120.88,9.35,32152.7282
52,0,20.36,-6.64,32144.2646
53,0,29.26,-3.54,31933.9854
54,0,20.36,-6.64,31707.0963
55,0,0.00,0.00,31587.1543
56,-3,-104.38,4.46,31274.5389
57,0,20.36,-6.64,30984.8803
58,1,67.05,-7.45,30835.5031
59,1,-71.89,2.32,30574.0612
60,-1,65.88,-3.45,30566.1674
61,0,-15.43,3.82,30364.3210
62,0,24.80,-0.96,30353.5804
63,-1,53.40,-0.56,30109.5020
64,0,90.56,-2.36,29980.1160
65,0,90.56,-2.36,29907.9043
66,0,-181.19,8.03,29879.9274
67,0,90.56,-2.36,29712.3187
68,0,-26.35,3.94,28923.7539
69,-1,0.00,-6.87,28867.8158
70,0,40.53,-3.59,28843.0820
71,0,45.87,-2.90,28210.1867
72,0,-16.05,-2.23,28062.5709
73,0,-20.04,-1.10,27927.3632
74,0,-81.78,1.53,27868.3500
75,-1,-13.59,-4.70,27771.3186
76,0,33.64,-1.78,27637.9624
77,-1,-17.62,-0.49,27192.0412
78,0,36.35,-1.59,26842.3861
79,1,48.67,1.05,26782.4890
80,0,-32.71,8.12,26734.3685
81,1,70.85,-10.11,26156.0971
82,-1,-89.70,6.31,26091.3882
83,0,6.88,0.74,25836.3644
84,0,-2.73,2.45,25722.5441
85,0,-79.47,5.66,25710.1844
86,0,6.98,0.74,25511.2819
87,-1,-99.33,8.39,25286.3949
88,-1,-58.15,0.88,25273.6597
89,0,16.60,-0.97,25222.7554
90,-1,-102.75,7.74,24701.8475
91,-2,-72.62,2.32,24678.0818
92,0,30.24,-3.59,24632.1149
93,2,75.77,-1.82,24323.0339
94,-4,-186.05,3.25,24016.9107
95,-4,-186.05,3.25,23972.9091
96,0,0.00,0.00,23610.2893
97,-1,-55.37,-1.61,23409.0394
98,-3,-406.05,18.62,22983.8404
99,-1,2.73,-1.87,22657.0934
100,3,222.56,-14.61,22388.7327
101,0,-15.91,2.09,22138.3412
102,0,23.19,-2.41,21582.5781
103,-1,-52.89,-3.01,21403.6929
104,-1,8.13,-7.04,21249.7460
105,0,119.90,-6.45,20805.3208
106,-2,-42.95,1.80,20595.4884
107,0,21.12,-2.24,20477.3805
108,0,22.72,7.40,20030.6944
109,0,-7.57,0.71,20026.5402
110,3,108.37,-9.63,19665.9329
111,1,389.94,-23.78,19603.0176
112,1,41.12,2.43,19419.0279
113,1,364.04,-18.99,19412.0898
114,1,177.74,-7.63,19355.1969
115,0,-34.14,0.67,19269.5747
116,0,-65.99,10.96,19251.9927
117,0,0.00,0.00,19151.5000
118,0,0.00,0.00,19081.7750
119,0,-61.13,9.51,19065.4381
120,0,37.60,-2.75,18616.9286
121,0,-10.95,7.37,18613.1644
122,-1,3.17,-7.14,18550.6974
123,0,-10.95,7.37,18308.8296
124,0,34.60,-2.44,18204.8665
125,0,-10.95,-5.77,18131.6357
126,0,-10.95,-5.77,18083.9302
127,0,7.53,0.52,17935.9897
128,-4,-74.24,-1.32,17920.8152
129,-1,-32.79,5.23,17845.6651
130,0,54.40,-1.47,17656.0978
131,2,126.21,-3.06,17644.9576
132,0,-10.95,0.80,17617.2245
133,0,-13.59,2.17,17563.7873
134,2,115.52,-2.59,17559.4323
135,0,1.08,-1.74,17519.4199
136,0,9.91,-0.21,17480.0579
137,0,-10.95,0.80,17128.7465
138,0,-27.83,0.11,17022.7866
139,2,127.78,-2.84,16979.0680
140,0,-9.09,-1.93,16956.8652
141,0,6.95,-5.33,16939.5958
142,2,138.47,-3.30,16850.3236
143,0,-12.60,4.22,16833.9631
144,-3,-92.76,-1.94,16826.7905
145,-3,-118.33,8.27,16798.6371
146,1,122.67,-2.35,16748.9553
147,0,7.91,-5.98,16675.0753
148,12,111.38,-13.03,16633.4674
149,-3,-88.44,0.43,16593.2786
150,0,0.00,0.00,16553.5442
151,0,12.56,-4.36,16540.8036
152,0,13.59,-2.17,16540.1694
153,0,2.30,-6.95,16516.1408
154,-3,-114.01,10.64,16467.9789
155,0,9.36,-0.85,16430.0298
156,0,12.54,-0.54,16082.1953
157,0,-21.96,1.64,16077.6108
158,0,28.22,-3.15,16038.3201
159,-2,-103.41,0.61,16015.5794
160,0,-31.43,8.31,15996.4087
161,0,74.57,-4.80,15823.6327
162,0,-7.75,1.11,15668.4975
163,0,-32.71,8.12,15607.8560
164,0,-68.37,15.41,15575.4119
165,0,-66.02,11.81,15574.6324
166,0,-98.76,4.88,15548.9053
167,0,18.27,-2.11,15514.1427
168,0,0.00,0.00,15498.7913
169,-3,-124.50,8.30,15391.5136
170,0,1.09,-5.92,15389.2021
171,0,-4.52,-6.89,15351.9091
172,0,-26.44,7.97,15235.3955
173,0,9.12,0.65,15205.4517
174,0,29.08,-8.61,15200.1480
175,0,-8.49,-0.25,15137.4434
176,-3,-98.94,-1.91,15129.0499
177,0,18.27,-2.11,14975.4048
178,0,18.27,-2.11,14954.5020
179,3,215.43,-15.71,14951.7375
180,0,18.27,-2.11,14935.2315
181,0,-0.92,3.15,14899.9312
182,-1,-13.57,-6.25,14841.6650
183,0,0.00,0.00,14772.1430
184,0,-33.67,6.52,14735.3595
185,3,148.17,-7.68,14666.4836
186,0,0.00,0.00,14587.0437
187,0,13.59,-2.17,14475.4360
188,1,30.97,1.01,14428.6557
189,1,30.97,1.01,14424.2791
190,-12,-101.79,15.20,14378.6211
191,0,28.02,-1.94,14314.5714
192,0,22.17,-1.48,14311.0088
193,1,30.97,1.01,14194.5549
194,0,22.17,-1.48,14158.1174
195,0,0.00,0.00,14149.1446
196,0,-11.44,-1.61,14113.2396
197,0,39.03,-5.98,14087.7513
198,0,0.08,0.03,14036.9083
199,1,30.97,1.01,14012.1993
200,0,1.87,-1.48,13963.2387
201,0,-17.84,6.14,13927.4563
202,0,19.18,-3.17,13922.9867
203,1,-128.05,6.70,13891.2301
204,1,-128.05,6.70,13853.1332
205,0,28.22,-3.15,13796.0514
206,1,51.13,-6.46,13742.7213
207,1,-43.14,5.19,13700.1711
208,0,-27.14,7.67,13661.5866
209,-1,-22.36,-5.08,13649.2004
210,0,19.94,-2.77,13633.5531
211,-1,-84.85,5.24,13625.4314
212,0,0.00,0.00,13531.6557
213,0,-56.41,5.47,13428.0263
214,0,0.00,0.00,13421.3672
215,0,15.51,2.10,13374.7199
216,0,-27.37,3.87,13311.6999
217,1,-128.05,6.70,13296.4896
218,0,-12.57,2.58,13245.8719
219,1,63.89,-8.24,13223.8082
220,0,-49.38,2.85,13170.1202
221,0,18.03,-1.50,13150.3270
222,0,-20.39,-3.27,12961.1950
223,-1,-104.70,10.71,12957.2169
224,0,0.00,0.00,12946.2861
225,-1,54.15,-0.54,12942.1273
226,1,8.50,5.95,12860.1924
227,1,-43.14,5.19,12851.5834
228,-1,-35.68,8.27,12750.6479
229,0,51.13,-6.96,12702.8495
230,-2,-157.11,2.82,12671.9584
231,0,-61.39,10.00,12666.6098
232,0,4.64,-1.80,12625.9445
233,1,70.91,-0.56,12602.6024
234,0,136.76,-11.92,12498.2982
235,2,97.50,-3.48,12451.9931
236,0,-57.06,4.46,12440.3793
237,-1,-11.00,5.27,12398.1568
238,1,85.07,-3.58,12391.0195
239,-1,-57.08,1.41,12388.6844
240,-1,-68.16,2.39,12289.7139
241,0,0.00,0.00,12260.8593
242,0,-10.53,0.79,12198.1782
243,0,-4.64,-2.79,12196.3323
